# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
3.43376300e+04	0.00000000e+00	1.92373600e+07	3.66609700e+26
1.49048251e+04	5.00000000e-02	1.48401378e+07	7.74487625e+24
1.30348889e+04	1.00000000e-01	1.43131216e+07	4.21433485e+24
1.18710676e+04	1.50000000e-01	1.40217272e+07	2.78223224e+24
1.10083018e+04	2.00000000e-01	1.38187233e+07	1.99824900e+24
1.03343148e+04	2.50000000e-01	1.36456872e+07	1.51338869e+24
9.78378396e+03	3.00000000e-01	1.35016335e+07	1.19023242e+24
9.31672844e+03	3.50000000e-01	1.33823433e+07	9.61501151e+23
8.91265522e+03	4.00000000e-01	1.32843813e+07	7.93493107e+23
8.55892200e+03	4.50000000e-01	1.32020616e+07	6.66487317e+23
8.24585575e+03	5.00000000e-01	1.31315323e+07	5.68074992e+23
7.96654196e+03	5.50000000e-01	1.30698219e+07	4.90287580e+23
7.71555788e+03	6.00000000e-01	1.30148726e+07	4.27741368e+23
7.48840795e+03	6.50000000e-01	1.29653698e+07	3.76668895e+23
7.28134805e+03	7.00000000e-01	1.29205150e+07	3.34378883e+23
7.09149238e+03	7.50000000e-01	1.28795699e+07	2.98940909e+23
6.91665267e+03	8.00000000e-01	1.28418450e+07	2.68949598e+23
6.75490809e+03	8.50000000e-01	1.28067813e+07	2.43326741e+23
6.60465784e+03	9.00000000e-01	1.27738576e+07	2.21246980e+23
6.46463094e+03	9.50000000e-01	1.27425013e+07	2.02076678e+23
6.33414494e+03	1.00000000e+00	1.27120295e+07	1.85358830e+23
6.21329425e+03	1.05000000e+00	1.26815264e+07	1.70790063e+23
6.10095110e+03	1.10000000e+00	1.26493228e+07	1.57963240e+23
5.99584801e+03	1.15000000e+00	1.26144601e+07	1.46545338e+23
5.89681485e+03	1.20000000e+00	1.25787508e+07	1.36325427e+23
5.80355099e+03	1.25000000e+00	1.25420677e+07	1.27158541e+23
5.71593487e+03	1.30000000e+00	1.25033824e+07	1.18914841e+23
5.63330366e+03	1.35000000e+00	1.24645846e+07	1.11491060e+23
5.55510098e+03	1.40000000e+00	1.24279633e+07	1.04809152e+23
5.48172528e+03	1.45000000e+00	1.23930092e+07	9.88221403e+22
5.41441088e+03	1.50000000e+00	1.23582361e+07	9.35297992e+22
5.35368987e+03	1.55000000e+00	1.23249314e+07	8.89228899e+22
5.29928710e+03	1.60000000e+00	1.22946487e+07	8.49442460e+22
5.25100237e+03	1.65000000e+00	1.22675057e+07	8.15291829e+22
5.20872425e+03	1.70000000e+00	1.22429807e+07	7.86197188e+22
5.17197276e+03	1.75000000e+00	1.22207058e+07	7.61462409e+22
5.13967749e+03	1.80000000e+00	1.22003612e+07	7.40151008e+22
5.11061923e+03	1.85000000e+00	1.21816556e+07	7.21337749e+22
5.08361991e+03	1.90000000e+00	1.21643297e+07	7.04207236e+22
5.05786421e+03	1.95000000e+00	1.21482059e+07	6.88216584e+22
5.03277815e+03	2.00000000e+00	1.21331461e+07	6.72991981e+22
5.00813911e+03	2.05000000e+00	1.21190214e+07	6.58373249e+22
4.98385050e+03	2.10000000e+00	1.21057062e+07	6.44275823e+22
4.95990564e+03	2.15000000e+00	1.20930768e+07	6.30665593e+22
4.93632578e+03	2.20000000e+00	1.20810200e+07	6.17525017e+22
4.91315033e+03	2.25000000e+00	1.20694700e+07	6.04850962e+22
4.89039800e+03	2.30000000e+00	1.20583761e+07	5.92632582e+22
4.86793214e+03	2.35000000e+00	1.20476934e+07	5.80787744e+22
4.84557139e+03	2.40000000e+00	1.20373828e+07	5.69214976e+22
4.82323397e+03	2.45000000e+00	1.20274347e+07	5.57868161e+22
4.80088042e+03	2.50000000e+00	1.20178527e+07	5.46725353e+22
4.77840941e+03	2.55000000e+00	1.20086300e+07	5.35737879e+22
4.75568116e+03	2.60000000e+00	1.19997545e+07	5.24840820e+22
4.73256575e+03	2.65000000e+00	1.19912313e+07	5.13979777e+22
4.70894412e+03	2.70000000e+00	1.19830794e+07	5.03110098e+22
4.68475371e+03	2.75000000e+00	1.19753129e+07	4.92212570e+22
