# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
4.65998688e+03	2.80000000e+00	1.19679403e+07	4.81292579e+22
4.63462729e+03	2.85000000e+00	1.19609570e+07	4.70351491e+22
4.60864733e+03	2.90000000e+00	1.19543435e+07	4.59385411e+22
4.58206972e+03	2.95000000e+00	1.19480841e+07	4.48410222e+22
4.55498325e+03	3.00000000e+00	1.19421683e+07	4.37467726e+22
4.52752586e+03	3.05000000e+00	1.19365714e+07	4.26614233e+22
4.49989741e+03	3.10000000e+00	1.19312482e+07	4.15923660e+22
4.47223750e+03	3.15000000e+00	1.19261636e+07	4.05445329e+22
4.44458500e+03	3.20000000e+00	1.19213008e+07	3.95188351e+22
4.41700028e+03	3.25000000e+00	1.19166406e+07	3.85167710e+22
4.38959720e+03	3.30000000e+00	1.19121581e+07	3.75414938e+22
4.36244210e+03	3.35000000e+00	1.19078336e+07	3.65945095e+22
4.33548867e+03	3.40000000e+00	1.19036605e+07	3.56734616e+22
4.30867920e+03	3.45000000e+00	1.18996344e+07	3.47756932e+22
4.28196402e+03	3.50000000e+00	1.18957530e+07	3.38990641e+22
4.25530326e+03	3.55000000e+00	1.18920139e+07	3.30418381e+22
4.22868727e+03	3.60000000e+00	1.18884121e+07	3.22034144e+22
4.20212166e+03	3.65000000e+00	1.18849446e+07	3.13836249e+22
4.17565460e+03	3.70000000e+00	1.18816209e+07	3.05831994e+22
4.14930150e+03	3.75000000e+00	1.18784497e+07	2.98019893e+22
4.12272919e+03	3.80000000e+00	1.18754072e+07	2.90310723e+22
4.09554980e+03	3.85000000e+00	1.18724617e+07	2.82602351e+22
4.06876499e+03	3.90000000e+00	1.18696819e+07	2.75153897e+22
4.04431690e+03	3.95000000e+00	1.18672037e+07	2.68468661e+22
4.02270807e+03	4.00000000e+00	1.18650569e+07	2.62665845e+22
4.00269727e+03	4.05000000e+00	1.18631428e+07	2.57399555e+22
3.98294093e+03	4.10000000e+00	1.18613552e+07	2.52296607e+22
3.96231437e+03	4.15000000e+00	1.18596000e+07	2.47044356e+22
3.94115352e+03	4.20000000e+00	1.18578648e+07	2.41734150e+22
3.92034108e+03	4.25000000e+00	1.18561704e+07	2.36600929e+22
3.90057392e+03	4.30000000e+00	1.18545376e+07	2.31800555e+22
3.88221231e+03	4.35000000e+00	1.18529818e+07	2.27403937e+22
3.86501586e+03	4.40000000e+00	1.18515078e+07	2.23345308e+22
3.84867098e+03	4.45000000e+00	1.18501189e+07	2.19542241e+22
3.83287711e+03	4.50000000e+00	1.18488174e+07	2.15915585e+22
3.81750642e+03	4.55000000e+00	1.18475926e+07	2.12429509e+22
3.80255323e+03	4.60000000e+00	1.18464248e+07	2.09078819e+22
3.78801442e+03	4.65000000e+00	1.18452941e+07	2.05858966e+22
3.77386610e+03	4.70000000e+00	1.18441829e+07	2.02761301e+22
3.76000881e+03	4.75000000e+00	1.18430836e+07	1.99762282e+22
3.74632598e+03	4.80000000e+00	1.18419903e+07	1.96834984e+22
3.73270283e+03	4.85000000e+00	1.18408976e+07	1.93952900e+22
3.71908391e+03	4.90000000e+00	1.18398052e+07	1.91102990e+22
3.70548456e+03	4.95000000e+00	1.18387198e+07	1.88288301e+22
3.69192429e+03	5.00000000e+00	1.18376481e+07	1.85512821e+22
3.67841572e+03	5.05000000e+00	1.18365962e+07	1.82779174e+22
3.66492573e+03	5.10000000e+00	1.18355652e+07	1.80080876e+22
3.65140242e+03	5.15000000e+00	1.18345539e+07	1.77407712e+22
3.63779414e+03	5.20000000e+00	1.18335612e+07	1.74749512e+22
3.62409067e+03	5.25000000e+00	1.18325872e+07	1.72103916e+22
3.61036631e+03	5.30000000e+00	1.18316343e+07	1.69484507e+22
3.59670565e+03	5.35000000e+00	1.18307053e+07	1.66906807e+22
3.58318547e+03	5.40000000e+00	1.18298024e+07	1.64384893e+22
3.56977908e+03	5.45000000e+00	1.18289232e+07	1.61913717e+22
3.55638660e+03	5.50000000e+00	1.18280620e+07	1.59474706e+22
3.54290663e+03	5.55000000e+00	1.18272129e+07	1.57049001e+22
3.52926059e+03	5.60000000e+00	1.18263708e+07	1.54622076e+22
3.51545285e+03	5.65000000e+00	1.18255340e+07	1.52195136e+22
3.50150661e+03	5.70000000e+00	1.18247014e+07	1.49772962e+22
3.48744427e+03	5.75000000e+00	1.18238719e+07	1.47360198e+22
3.47326249e+03	5.80000000e+00	1.18230449e+07	1.44957148e+22
3.45892720e+03	5.85000000e+00	1.18222203e+07	1.42558933e+22
3.44440251e+03	5.90000000e+00	1.18213979e+07	1.40160372e+22
3.42965962e+03	5.95000000e+00	1.18205777e+07	1.37757433e+22
3.41471685e+03	6.00000000e+00	1.18197611e+07	1.35353781e+22
3.39961186e+03	6.05000000e+00	1.18189498e+07	1.32956227e+22
3.38438233e+03	6.10000000e+00	1.18181457e+07	1.30571594e+22
3.36906594e+03	6.15000000e+00	1.18173506e+07	1.28206687e+22
3.35369898e+03	6.20000000e+00	1.18165672e+07	1.25867391e+22
3.33831560e+03	6.25000000e+00	1.18157993e+07	1.23558185e+22
3.32294978e+03	6.30000000e+00	1.18150509e+07	1.21283433e+22
3.30763553e+03	6.35000000e+00	1.18143261e+07	1.19047497e+22
3.29239062e+03	6.40000000e+00	1.18136273e+07	1.16852575e+22
3.27716053e+03	6.45000000e+00	1.18129500e+07	1.14691198e+22
3.26187052e+03	6.50000000e+00	1.18122874e+07	1.12553196e+22
3.24644587e+03	6.55000000e+00	1.18116332e+07	1.10428401e+22
3.23081736e+03	6.60000000e+00	1.18109811e+07	1.08307375e+22
3.21500488e+03	6.65000000e+00	1.18103310e+07	1.06192503e+22
3.19910040e+03	6.70000000e+00	1.18096876e+07	1.04095733e+22
3.18319795e+03	6.75000000e+00	1.18090556e+07	1.02029289e+22
3.16739155e+03	6.80000000e+00	1.18084399e+07	1.00005393e+22
3.15173940e+03	6.85000000e+00	1.18078432e+07	9.80315871e+21
3.13618757e+03	6.90000000e+00	1.18072609e+07	9.61007838e+21
3.12066027e+03	6.95000000e+00	1.18066873e+07	9.42030409e+21
3.10508173e+03	7.00000000e+00	1.18061167e+07	9.23284169e+21
3.08938060e+03	7.05000000e+00	1.18055435e+07	9.04675442e+21
3.07354656e+03	7.10000000e+00	1.18049664e+07	8.86189748e+21
3.05761378e+03	7.15000000e+00	1.18043873e+07	8.67870271e+21
3.04161741e+03	7.20000000e+00	1.18038077e+07	8.49761504e+21
3.02559263e+03	7.25000000e+00	1.18032296e+07	8.31907938e+21
3.00957414e+03	7.30000000e+00	1.18026548e+07	8.14350669e+21
2.99359500e+03	7.35000000e+00	1.18020861e+07	7.97118568e+21
2.97768794e+03	7.40000000e+00	1.18015261e+07	7.80237760e+21
2.96188564e+03	7.45000000e+00	1.18009775e+07	7.63734368e+21
2.94621980e+03	7.50000000e+00	1.18004431e+07	7.47633473e+21
2.93069680e+03	7.55000000e+00	1.17999243e+07	7.31934245e+21
2.91529667e+03	7.60000000e+00	1.17994213e+07	7.16608869e+21
2.89999824e+03	7.65000000e+00	1.17989343e+07	7.01628271e+21
2.88478029e+03	7.70000000e+00	1.17984634e+07	6.86963372e+21
2.86962378e+03	7.75000000e+00	1.17980086e+07	6.72587823e+21
2.85452102e+03	7.80000000e+00	1.17975690e+07	6.58489733e+21
2.83946810e+03	7.85000000e+00	1.17971434e+07	6.44661995e+21
2.82446109e+03	7.90000000e+00	1.17967308e+07	6.31097505e+21
2.80949612e+03	7.95000000e+00	1.17963299e+07	6.17789195e+21
2.79458006e+03	8.00000000e+00	1.17959397e+07	6.04737976e+21
2.77974367e+03	8.05000000e+00	1.17955595e+07	5.91962448e+21
2.76502085e+03	8.10000000e+00	1.17951889e+07	5.79483592e+21
2.75044556e+03	8.15000000e+00	1.17948271e+07	5.67322386e+21
2.73605077e+03	8.20000000e+00	1.17944736e+07	5.55499043e+21
2.72183541e+03	8.25000000e+00	1.17941268e+07	5.44006795e+21
2.70775615e+03	8.30000000e+00	1.17937844e+07	5.32805336e+21
2.69376703e+03	8.35000000e+00	1.17934438e+07	5.21852269e+21
2.67982207e+03	8.40000000e+00	1.17931024e+07	5.11105196e+21
2.66587673e+03	8.45000000e+00	1.17927578e+07	5.00523051e+21
2.65191220e+03	8.50000000e+00	1.17924102e+07	4.90088594e+21
2.63793189e+03	8.55000000e+00	1.17920619e+07	4.79805162e+21
2.62393995e+03	8.60000000e+00	1.17917151e+07	4.69676767e+21
2.60994050e+03	8.65000000e+00	1.17913722e+07	4.59707421e+21
2.59593962e+03	8.70000000e+00	1.17910356e+07	4.49902163e+21
2.58197903e+03	8.75000000e+00	1.17907063e+07	4.40284866e+21
2.56813168e+03	8.80000000e+00	1.17903841e+07	4.30895921e+21
2.55447156e+03	8.85000000e+00	1.17900690e+07	4.21776276e+21
2.54107269e+03	8.90000000e+00	1.17897609e+07	4.12966879e+21
2.52800552e+03	8.95000000e+00	1.17894596e+07	4.04506410e+21
2.51527099e+03	9.00000000e+00	1.17891652e+07	3.96389047e+21
2.50280662e+03	9.05000000e+00	1.17888774e+07	3.88568373e+21
2.49054759e+03	9.10000000e+00	1.17885964e+07	3.80996480e+21
2.47842909e+03	9.15000000e+00	1.17883221e+07	3.73625464e+21
2.46638780e+03	9.20000000e+00	1.17880543e+07	3.66408417e+21
2.45439931e+03	9.25000000e+00	1.17877930e+07	3.59324669e+21
2.44248106e+03	9.30000000e+00	1.17875376e+07	3.52381753e+21
2.43065255e+03	9.35000000e+00	1.17872877e+07	3.45588589e+21
2.41893327e+03	9.40000000e+00	1.17870429e+07	3.38954099e+21
2.40734272e+03	9.45000000e+00	1.17868027e+07	3.32487202e+21
2.39589586e+03	9.50000000e+00	1.17865668e+07	3.26193618e+21
2.38459477e+03	9.55000000e+00	1.17863350e+07	3.20069965e+21
2.37343921e+03	9.60000000e+00	1.17861073e+07	3.14111247e+21
2.36242898e+03	9.65000000e+00	1.17858835e+07	3.08312471e+21
2.35156386e+03	9.70000000e+00	1.17856636e+07	3.02668642e+21
2.34084275e+03	9.75000000e+00	1.17854475e+07	2.97174450e+21
2.33025222e+03	9.80000000e+00	1.17852346e+07	2.91820126e+21
2.31976967e+03	9.85000000e+00	1.17850239e+07	2.86592603e+21
2.30937232e+03	9.90000000e+00	1.17848143e+07	2.81478736e+21
2.29903737e+03	9.95000000e+00	1.17846050e+07	2.76465381e+21
2.28874201e+03	1.00000000e+01	1.17843949e+07	2.71539392e+21
2.27846886e+03	1.00500000e+01	1.17841834e+07	2.66690230e+21
2.26822729e+03	1.01000000e+01	1.17839710e+07	2.61920246e+21
2.25803496e+03	1.01500000e+01	1.17837588e+07	2.57235773e+21
2.24790951e+03	1.02000000e+01	1.17835477e+07	2.52643146e+21
2.23786859e+03	1.02500000e+01	1.17833389e+07	2.48148699e+21
2.22792984e+03	1.03000000e+01	1.17831333e+07	2.43758766e+21
2.21810595e+03	1.03500000e+01	1.17829316e+07	2.39477397e+21
2.20839166e+03	1.04000000e+01	1.17827333e+07	2.35300358e+21
2.19877761e+03	1.04500000e+01	1.17825377e+07	2.31221541e+21
2.18925448e+03	1.05000000e+01	1.17823438e+07	2.27234840e+21
2.17981291e+03	1.05500000e+01	1.17821510e+07	2.23334146e+21
2.17044357e+03	1.06000000e+01	1.17819585e+07	2.19513352e+21
2.16113933e+03	1.06500000e+01	1.17817656e+07	2.15767435e+21
2.15190043e+03	1.07000000e+01	1.17815729e+07	2.12095001e+21
2.14272865e+03	1.07500000e+01	1.17813808e+07	2.08495417e+21
2.13362580e+03	1.08000000e+01	1.17811901e+07	2.04968046e+21
2.12459366e+03	1.08500000e+01	1.17810012e+07	2.01512253e+21
2.11563402e+03	1.09000000e+01	1.17808147e+07	1.98127405e+21
2.10674786e+03	1.09500000e+01	1.17806312e+07	1.94812595e+21
2.09793209e+03	1.10000000e+01	1.17804505e+07	1.91565555e+21
2.08918232e+03	1.10500000e+01	1.17802724e+07	1.88383579e+21
2.08049414e+03	1.11000000e+01	1.17800968e+07	1.85263964e+21
2.07186317e+03	1.11500000e+01	1.17799232e+07	1.82204005e+21
2.06328501e+03	1.12000000e+01	1.17797516e+07	1.79200999e+21
2.05475582e+03	1.12500000e+01	1.17795817e+07	1.76252426e+21
2.04627897e+03	1.13000000e+01	1.17794133e+07	1.73358138e+21
2.03786280e+03	1.13500000e+01	1.17792463e+07	1.70519641e+21
2.02951580e+03	1.14000000e+01	1.17790808e+07	1.67738470e+21
2.02124640e+03	1.14500000e+01	1.17789167e+07	1.65016163e+21
2.01306309e+03	1.15000000e+01	1.17787538e+07	1.62354257e+21
2.00497425e+03	1.15500000e+01	1.17785922e+07	1.59754274e+21
1.99698057e+03	1.16000000e+01	1.17784317e+07	1.57215461e+21
1.98906702e+03	1.16500000e+01	1.17782723e+07	1.54732463e+21
1.98121671e+03	1.17000000e+01	1.17781140e+07	1.52299367e+21
1.97341272e+03	1.17500000e+01	1.17779567e+07	1.49910260e+21
1.96563815e+03	1.18000000e+01	1.17778002e+07	1.47559230e+21
1.95787610e+03	1.18500000e+01	1.17776447e+07	1.45240364e+21
1.95011141e+03	1.19000000e+01	1.17774900e+07	1.42948290e+21
1.94234644e+03	1.19500000e+01	1.17773363e+07	1.40682999e+21
1.93459355e+03	1.20000000e+01	1.17771842e+07	1.38447548e+21
1.92686520e+03	1.20500000e+01	1.17770339e+07	1.36245026e+21
1.91917385e+03	1.21000000e+01	1.17768860e+07	1.34078526e+21
1.91153197e+03	1.21500000e+01	1.17767407e+07	1.31951138e+21
1.90395204e+03	1.22000000e+01	1.17765986e+07	1.29865955e+21
1.89644339e+03	1.22500000e+01	1.17764598e+07	1.27825141e+21
1.88900325e+03	1.23000000e+01	1.17763242e+07	1.25827271e+21
1.88162590e+03	1.23500000e+01	1.17761914e+07	1.23870051e+21
1.87430564e+03	1.24000000e+01	1.17760611e+07	1.21951185e+21
1.86703675e+03	1.24500000e+01	1.17759328e+07	1.20068377e+21
1.85981352e+03	1.25000000e+01	1.17758064e+07	1.18219332e+21
1.85263027e+03	1.25500000e+01	1.17756813e+07	1.16401764e+21
1.84548371e+03	1.26000000e+01	1.17755575e+07	1.14614135e+21
1.83837447e+03	1.26500000e+01	1.17754349e+07	1.12856139e+21
1.83130354e+03	1.27000000e+01	1.17753136e+07	1.11127583e+21
1.82427192e+03	1.27500000e+01	1.17751937e+07	1.09428274e+21
1.81728062e+03	1.28000000e+01	1.17750752e+07	1.07758022e+21
1.81033063e+03	1.28500000e+01	1.17749582e+07	1.06116633e+21
1.80342290e+03	1.29000000e+01	1.17748426e+07	1.04503906e+21
1.79655744e+03	1.29500000e+01	1.17747286e+07	1.02919406e+21
1.78973326e+03	1.30000000e+01	1.17746158e+07	1.01362463e+21
1.78294933e+03	1.30500000e+01	1.17745041e+07	9.98323997e+20
1.77620465e+03	1.31000000e+01	1.17743933e+07	9.83285363e+20
1.76949817e+03	1.31500000e+01	1.17742832e+07	9.68501942e+20
1.76282889e+03	1.32000000e+01	1.17741736e+07	9.53966944e+20
1.75619582e+03	1.32500000e+01	1.17740643e+07	9.39673697e+20
1.74959858e+03	1.33000000e+01	1.17739553e+07	9.25617262e+20
1.74303727e+03	1.33500000e+01	1.17738463e+07	9.11794033e+20
1.73651196e+03	1.34000000e+01	1.17737374e+07	8.98200440e+20
1.73002277e+03	1.34500000e+01	1.17736285e+07	8.84832909e+20
1.72356979e+03	1.35000000e+01	1.17735195e+07	8.71687870e+20
1.71715312e+03	1.35500000e+01	1.17734104e+07	8.58761751e+20
1.71077274e+03	1.36000000e+01	1.17733010e+07	8.46050838e+20
1.70442730e+03	1.36500000e+01	1.17731915e+07	8.33549539e+20
1.69811443e+03	1.37000000e+01	1.17730819e+07	8.21250926e+20
1.69183178e+03	1.37500000e+01	1.17729722e+07	8.09148044e+20
1.68557697e+03	1.38000000e+01	1.17728626e+07	7.97233935e+20
1.67934765e+03	1.38500000e+01	1.17727531e+07	7.85501645e+20
1.67314144e+03	1.39000000e+01	1.17726438e+07	7.73944217e+20
1.66695633e+03	1.39500000e+01	1.17725348e+07	7.62555270e+20
1.66079557e+03	1.40000000e+01	1.17724262e+07	7.51337089e+20
1.65466649e+03	1.40500000e+01	1.17723180e+07	7.40298655e+20
1.64857652e+03	1.41000000e+01	1.17722104e+07	7.29449123e+20
1.64253310e+03	1.41500000e+01	1.17721033e+07	7.18797648e+20
1.63654367e+03	1.42000000e+01	1.17719969e+07	7.08353386e+20
1.63061565e+03	1.42500000e+01	1.17718912e+07	6.98125493e+20
1.62475599e+03	1.43000000e+01	1.17717863e+07	6.88122356e+20
1.61896114e+03	1.43500000e+01	1.17716823e+07	6.78335714e+20
1.61321734e+03	1.44000000e+01	1.17715789e+07	6.68741208e+20
1.60751044e+03	1.44500000e+01	1.17714763e+07	6.59313819e+20
1.60182629e+03	1.45000000e+01	1.17713744e+07	6.50028526e+20
1.59615073e+03	1.45500000e+01	1.17712730e+07	6.40860312e+20
1.59046960e+03	1.46000000e+01	1.17711722e+07	6.31784156e+20
1.58476898e+03	1.46500000e+01	1.17710718e+07	6.22775411e+20
1.57904487e+03	1.47000000e+01	1.17709720e+07	6.13825609e+20
1.57330688e+03	1.47500000e+01	1.17708731e+07	6.04948383e+20
1.56756556e+03	1.48000000e+01	1.17707752e+07	5.96158954e+20
1.56183148e+03	1.48500000e+01	1.17706787e+07	5.87472546e+20
1.55611521e+03	1.49000000e+01	1.17705839e+07	5.78904380e+20
1.55042731e+03	1.49500000e+01	1.17704910e+07	5.70469679e+20
1.54477835e+03	1.50000000e+01	1.17704002e+07	5.62183661e+20
1.53917573e+03	1.50500000e+01	1.17703118e+07	5.54056482e+20
1.53361772e+03	1.51000000e+01	1.17702256e+07	5.46083659e+20
1.52810093e+03	1.51500000e+01	1.17701415e+07	5.38258078e+20
1.52262198e+03	1.52000000e+01	1.17700594e+07	5.30572622e+20
