# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
9.84546000e+04	0.00000000e+00	1.79342200e+07	2.15348100e+28
2.06154255e+04	5.00000000e-02	9.40652279e+06	1.13883039e+25
1.78800810e+04	1.00000000e-01	9.27917492e+06	6.27087684e+24
1.61562097e+04	1.50000000e-01	9.20363517e+06	4.11252019e+24
1.48971797e+04	2.00000000e-01	9.14900543e+06	2.93762489e+24
1.39130780e+04	2.50000000e-01	9.10587869e+06	2.21395314e+24
1.31096069e+04	3.00000000e-01	9.07104365e+06	1.73182906e+24
1.24379528e+04	3.50000000e-01	9.04169121e+06	1.39420503e+24
1.18630763e+04	4.00000000e-01	9.01544381e+06	1.14708552e+24
1.13660823e+04	4.50000000e-01	8.99182785e+06	9.61549971e+23
1.09316355e+04	5.00000000e-01	8.97091096e+06	8.18926691e+23
1.05478127e+04	5.50000000e-01	8.95223428e+06	7.06878732e+23
1.02054861e+04	6.00000000e-01	8.93558770e+06	6.17181348e+23
9.89773540e+03	6.50000000e-01	8.92100419e+06	5.44255577e+23
9.61946697e+03	7.00000000e-01	8.90805788e+06	4.84174644e+23
9.36651943e+03	7.50000000e-01	8.89636584e+06	4.34080325e+23
9.13548736e+03	8.00000000e-01	8.88565694e+06	3.91866375e+23
8.92345835e+03	8.50000000e-01	8.87577488e+06	3.55940436e+23
8.72802416e+03	9.00000000e-01	8.86661898e+06	3.25096208e+23
8.54716675e+03	9.50000000e-01	8.85811538e+06	2.98403097e+23
8.37919866e+03	1.00000000e+00	8.85019597e+06	2.75136207e+23
8.22267451e+03	1.05000000e+00	8.84282043e+06	2.54721788e+23
8.07643139e+03	1.10000000e+00	8.83591013e+06	2.36707756e+23
7.93945968e+03	1.15000000e+00	8.82938714e+06	2.20727733e+23
7.81080106e+03	1.20000000e+00	8.82323011e+06	2.06475957e+23
7.68962321e+03	1.25000000e+00	8.81740869e+06	1.93702026e+23
7.57516234e+03	1.30000000e+00	8.81189584e+06	1.82195898e+23
7.46679123e+03	1.35000000e+00	8.80667113e+06	1.71787490e+23
7.36394061e+03	1.40000000e+00	8.80171140e+06	1.62333160e+23
7.26613304e+03	1.45000000e+00	8.79698682e+06	1.53713975e+23
7.17296637e+03	1.50000000e+00	8.79246228e+06	1.45830403e+23
7.08407647e+03	1.55000000e+00	8.78810539e+06	1.38597472e+23
6.99913641e+03	1.60000000e+00	8.78389588e+06	1.31942320e+23
6.91788150e+03	1.65000000e+00	8.77980781e+06	1.25804009e+23
6.84029323e+03	1.70000000e+00	8.77582791e+06	1.20145387e+23
6.76628017e+03	1.75000000e+00	8.77193476e+06	1.14927099e+23
6.69554616e+03	1.80000000e+00	8.76809851e+06	1.10099554e+23
6.62770626e+03	1.85000000e+00	8.76426717e+06	1.05612782e+23
6.56240672e+03	1.90000000e+00	8.76039982e+06	1.01421975e+23
6.49942213e+03	1.95000000e+00	8.75649791e+06	9.74971367e+22
6.43855982e+03	2.00000000e+00	8.75257395e+06	9.38119845e+22
6.37968818e+03	2.05000000e+00	8.74866176e+06	9.03468417e+22
6.32270273e+03	2.10000000e+00	8.74479705e+06	8.70847978e+22
6.26753307e+03	2.15000000e+00	8.74095878e+06	8.40110923e+22
6.21412520e+03	2.20000000e+00	8.73709735e+06	8.11121730e+22
6.16240935e+03	2.25000000e+00	8.73317766e+06	7.83751909e+22
6.11231016e+03	2.30000000e+00	8.72917742e+06	7.57879991e+22
6.06378604e+03	2.35000000e+00	8.72512138e+06	7.33416619e+22
6.01680713e+03	2.40000000e+00	8.72106109e+06	7.10288142e+22
5.97126453e+03	2.45000000e+00	8.71704172e+06	6.88391070e+22
5.92705316e+03	2.50000000e+00	8.71310307e+06	6.67626570e+22
5.88447211e+03	2.55000000e+00	8.70927179e+06	6.48075661e+22
5.84404036e+03	2.60000000e+00	8.70556890e+06	6.29913337e+22
5.80643256e+03	2.65000000e+00	8.70202208e+06	6.13353733e+22
5.77231994e+03	2.70000000e+00	8.69865923e+06	5.98597875e+22
5.74156959e+03	2.75000000e+00	8.69547742e+06	5.85516246e+22
5.71356785e+03	2.80000000e+00	8.69245546e+06	5.73782134e+22
5.68783587e+03	2.85000000e+00	8.68958353e+06	5.63142660e+22
5.66409389e+03	2.90000000e+00	8.68686823e+06	5.53452697e+22
5.64207883e+03	2.95000000e+00	8.68431560e+06	5.44576566e+22
5.62154798e+03	3.00000000e+00	8.68191034e+06	5.36394679e+22
5.60227203e+03	3.05000000e+00	8.67962319e+06	5.28798016e+22
5.58402540e+03	3.10000000e+00	8.67742518e+06	5.21679356e+22
5.56666291e+03	3.15000000e+00	8.67529997e+06	5.14968608e+22
5.55011971e+03	3.20000000e+00	8.67324387e+06	5.08632747e+22
5.53433438e+03	3.25000000e+00	8.67125371e+06	5.02640355e+22
5.51924822e+03	3.30000000e+00	8.66932625e+06	4.96961158e+22
5.50482805e+03	3.35000000e+00	8.66745732e+06	4.91575759e+22
5.49105484e+03	3.40000000e+00	8.66564229e+06	4.86470776e+22
5.47790970e+03	3.45000000e+00	8.66387648e+06	4.81632894e+22
5.46537312e+03	3.50000000e+00	8.66215525e+06	4.77048628e+22
5.45340369e+03	3.55000000e+00	8.66047380e+06	4.72698331e+22
5.44193226e+03	3.60000000e+00	8.65882720e+06	4.68554559e+22
5.43088788e+03	3.65000000e+00	8.65721051e+06	4.64589368e+22
5.42019962e+03	3.70000000e+00	8.65561877e+06	4.60774813e+22
5.40979881e+03	3.75000000e+00	8.65404728e+06	4.57083793e+22
5.39965731e+03	3.80000000e+00	8.65249578e+06	4.53504245e+22
5.38978195e+03	3.85000000e+00	8.65096783e+06	4.50037070e+22
5.38018068e+03	3.90000000e+00	8.64946710e+06	4.46683599e+22
5.37086146e+03	3.95000000e+00	8.64799729e+06	4.43445157e+22
5.36183215e+03	4.00000000e+00	8.64656205e+06	4.40323040e+22
5.35308238e+03	4.05000000e+00	8.64516206e+06	4.37312575e+22
5.34456261e+03	4.10000000e+00	8.64379151e+06	4.34396283e+22
5.33621825e+03	4.15000000e+00	8.64244379e+06	4.31555029e+22
5.32799472e+03	4.20000000e+00	8.64111229e+06	4.28769677e+22
5.31983743e+03	4.25000000e+00	8.63979037e+06	4.26021093e+22
5.31169398e+03	4.30000000e+00	8.63847172e+06	4.23290898e+22
5.30355064e+03	4.35000000e+00	8.63715544e+06	4.20573996e+22
5.29542666e+03	4.40000000e+00	8.63584525e+06	4.17876626e+22
5.28734233e+03	4.45000000e+00	8.63454502e+06	4.15205391e+22
5.27931796e+03	4.50000000e+00	8.63325860e+06	4.12566894e+22
5.27137385e+03	4.55000000e+00	8.63198986e+06	4.09967739e+22
5.26352984e+03	4.60000000e+00	8.63074257e+06	4.07414366e+22
5.25579274e+03	4.65000000e+00	8.62951782e+06	4.04908711e+22
5.24815494e+03	4.70000000e+00	8.62831375e+06	4.02447713e+22
5.24060807e+03	4.75000000e+00	8.62712831e+06	4.00028049e+22
5.23314374e+03	4.80000000e+00	8.62595949e+06	3.97646399e+22
5.22575360e+03	4.85000000e+00	8.62480524e+06	3.95299441e+22
5.21842920e+03	4.90000000e+00	8.62366356e+06	3.92983841e+22
5.21115931e+03	4.95000000e+00	8.62253248e+06	3.90695702e+22
5.20392885e+03	5.00000000e+00	8.62141020e+06	3.88430355e+22
5.19672246e+03	5.05000000e+00	8.62029489e+06	3.86183079e+22
5.18952477e+03	5.10000000e+00	8.61918473e+06	3.83949147e+22
5.18232043e+03	5.15000000e+00	8.61807792e+06	3.81723838e+22
5.17509409e+03	5.20000000e+00	8.61697263e+06	3.79502429e+22
5.16783811e+03	5.25000000e+00	8.61586812e+06	3.77282514e+22
5.16056744e+03	5.30000000e+00	8.61476684e+06	3.75068474e+22
5.15330118e+03	5.35000000e+00	8.61367178e+06	3.72865930e+22
5.14605841e+03	5.40000000e+00	8.61258597e+06	3.70680504e+22
5.13885824e+03	5.45000000e+00	8.61151241e+06	3.68517816e+22
5.13171973e+03	5.50000000e+00	8.61045411e+06	3.66383487e+22
5.12465723e+03	5.55000000e+00	8.60941343e+06	3.64281733e+22
5.11765351e+03	5.60000000e+00	8.60838835e+06	3.62207475e+22
5.11067856e+03	5.65000000e+00	8.60737508e+06	3.60151858e+22
5.10370231e+03	5.70000000e+00	8.60636985e+06	3.58106015e+22
5.09669470e+03	5.75000000e+00	8.60536886e+06	3.56061081e+22
5.08962567e+03	5.80000000e+00	8.60436831e+06	3.54008188e+22
5.08246851e+03	5.85000000e+00	8.60336493e+06	3.51939505e+22
5.07521753e+03	5.90000000e+00	8.60235854e+06	3.49853691e+22
5.06787520e+03	5.95000000e+00	8.60135017e+06	3.47751928e+22
5.06044401e+03	6.00000000e+00	8.60034086e+06	3.45635404e+22
5.05292647e+03	6.05000000e+00	8.59933167e+06	3.43505303e+22
5.04532505e+03	6.10000000e+00	8.59832362e+06	3.41362813e+22
5.03764314e+03	6.15000000e+00	8.59731787e+06	3.39209322e+22
5.02988899e+03	6.20000000e+00	8.59631609e+06	3.37047311e+22
5.02207244e+03	6.25000000e+00	8.59532018e+06	3.34879628e+22
5.01420336e+03	6.30000000e+00	8.59433200e+06	3.32709122e+22
5.00629162e+03	6.35000000e+00	8.59335343e+06	3.30538640e+22
4.99834677e+03	6.40000000e+00	8.59238632e+06	3.28370951e+22
4.99036119e+03	6.45000000e+00	8.59143066e+06	3.26204327e+22
4.98230133e+03	6.50000000e+00	8.59048365e+06	3.24030261e+22
4.97413150e+03	6.55000000e+00	8.58954226e+06	3.21839679e+22
4.96581599e+03	6.60000000e+00	8.58860347e+06	3.19623510e+22
4.95731913e+03	6.65000000e+00	8.58766424e+06	3.17372683e+22
4.94861303e+03	6.70000000e+00	8.58672273e+06	3.15080340e+22
4.93969457e+03	6.75000000e+00	8.58578076e+06	3.12746631e+22
4.93056555e+03	6.80000000e+00	8.58484091e+06	3.10373087e+22
4.92122772e+03	6.85000000e+00	8.58390575e+06	3.07961241e+22
4.91168287e+03	6.90000000e+00	8.58297786e+06	3.05512625e+22
4.90193029e+03	6.95000000e+00	8.58205918e+06	3.03028141e+22
4.89195811e+03	7.00000000e+00	8.58114891e+06	3.00505857e+22
4.88175134e+03	7.05000000e+00	8.58024548e+06	2.97943047e+22
4.87129499e+03	7.10000000e+00	8.57934729e+06	2.95336983e+22
4.86057411e+03	7.15000000e+00	8.57845278e+06	2.92684952e+22
4.84958540e+03	7.20000000e+00	8.57756136e+06	2.89987121e+22
4.83835110e+03	7.25000000e+00	8.57667462e+06	2.87249990e+22
4.82689687e+03	7.30000000e+00	8.57579445e+06	2.84480904e+22
4.81524836e+03	7.35000000e+00	8.57492274e+06	2.81687205e+22
4.80343005e+03	7.40000000e+00	8.57406117e+06	2.78875898e+22
4.79145550e+03	7.45000000e+00	8.57320948e+06	2.76050804e+22
4.77933226e+03	7.50000000e+00	8.57236638e+06	2.73214000e+22
4.76706782e+03	7.55000000e+00	8.57153056e+06	2.70367548e+22
4.75466840e+03	7.60000000e+00	8.57070068e+06	2.67513240e+22
4.74211430e+03	7.65000000e+00	8.56987501e+06	2.64647494e+22
4.72936184e+03	7.70000000e+00	8.56905146e+06	2.61761741e+22
4.71636641e+03	7.75000000e+00	8.56822791e+06	2.58847225e+22
4.70308538e+03	7.80000000e+00	8.56740237e+06	2.55895617e+22
4.68953448e+03	7.85000000e+00	8.56657620e+06	2.52911175e+22
4.67579594e+03	7.90000000e+00	8.56575456e+06	2.49912505e+22
4.66195562e+03	7.95000000e+00	8.56494286e+06	2.46918999e+22
