# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
4.64809639e+03	8.00000000e+00	8.56414631e+06	2.43949389e+22
4.63423596e+03	8.05000000e+00	8.56336696e+06	2.41008128e+22
4.62032892e+03	8.10000000e+00	8.56260370e+06	2.38085829e+22
4.60632724e+03	8.15000000e+00	8.56185533e+06	2.35172537e+22
4.59219056e+03	8.20000000e+00	8.56112081e+06	2.32259874e+22
4.57793220e+03	8.25000000e+00	8.56040061e+06	2.29350543e+22
4.56358849e+03	8.30000000e+00	8.55969580e+06	2.26452000e+22
4.54919556e+03	8.35000000e+00	8.55900743e+06	2.23571658e+22
4.53473929e+03	8.40000000e+00	8.55833409e+06	2.20707415e+22
4.52010026e+03	8.45000000e+00	8.55766917e+06	2.17837223e+22
4.50514577e+03	8.50000000e+00	8.55700544e+06	2.14936521e+22
4.48976635e+03	8.55000000e+00	8.55633671e+06	2.11985156e+22
4.47404747e+03	8.60000000e+00	8.55566579e+06	2.08999974e+22
4.45817209e+03	8.65000000e+00	8.55499996e+06	2.06016321e+22
4.44231891e+03	8.70000000e+00	8.55434634e+06	2.03068756e+22
4.42650121e+03	8.75000000e+00	8.55370445e+06	2.00160963e+22
4.41053158e+03	8.80000000e+00	8.55306461e+06	1.97259173e+22
4.39421151e+03	8.85000000e+00	8.55241667e+06	1.94327547e+22
4.37743349e+03	8.90000000e+00	8.55175469e+06	1.91347436e+22
4.36025454e+03	8.95000000e+00	8.55108044e+06	1.88331269e+22
4.34274895e+03	9.00000000e+00	8.55039651e+06	1.85294742e+22
4.32497798e+03	9.05000000e+00	8.54970622e+06	1.82250829e+22
4.30696719e+03	9.10000000e+00	8.54901490e+06	1.79205072e+22
4.28873611e+03	9.15000000e+00	8.54832823e+06	1.76161754e+22
4.27029266e+03	9.20000000e+00	8.54765042e+06	1.73123335e+22
4.25160898e+03	9.25000000e+00	8.54698122e+06	1.70086657e+22
4.23265033e+03	9.30000000e+00	8.54631951e+06	1.67047485e+22
4.21339991e+03	9.35000000e+00	8.54566668e+06	1.64004417e+22
4.19389117e+03	9.40000000e+00	8.54503120e+06	1.60964006e+22
4.17416624e+03	9.45000000e+00	8.54442274e+06	1.57934179e+22
4.15425248e+03	9.50000000e+00	8.54384315e+06	1.54920373e+22
4.13414475e+03	9.55000000e+00	8.54327711e+06	1.51922551e+22
4.11383624e+03	9.60000000e+00	8.54270731e+06	1.48940305e+22
4.09343353e+03	9.65000000e+00	8.54212797e+06	1.45988540e+22
4.07319654e+03	9.70000000e+00	8.54154898e+06	1.43102861e+22
4.05336798e+03	9.75000000e+00	8.54098046e+06	1.40316426e+22
4.03384900e+03	9.80000000e+00	8.54042217e+06	1.37614814e+22
4.01431310e+03	9.85000000e+00	8.53986696e+06	1.34951893e+22
3.99451049e+03	9.90000000e+00	8.53931009e+06	1.32292293e+22
3.97452694e+03	9.95000000e+00	8.53875741e+06	1.29647730e+22
3.95453462e+03	1.00000000e+01	8.53821748e+06	1.27042037e+22
3.93464505e+03	1.00500000e+01	8.53769713e+06	1.24490148e+22
3.91486393e+03	1.01000000e+01	8.53720012e+06	1.21991470e+22
3.89517934e+03	1.01500000e+01	8.53672942e+06	1.19543073e+22
3.87549889e+03	1.02000000e+01	8.53628261e+06	1.17133055e+22
3.85567876e+03	1.02500000e+01	8.53585380e+06	1.14743788e+22
3.83558982e+03	1.03000000e+01	8.53543774e+06	1.12359925e+22
3.81515379e+03	1.03500000e+01	8.53503147e+06	1.09973895e+22
3.79430607e+03	1.04000000e+01	8.53463253e+06	1.07580079e+22
3.77307791e+03	1.04500000e+01	8.53424003e+06	1.05183269e+22
3.75160932e+03	1.05000000e+01	8.53385477e+06	1.02800068e+22
3.73002096e+03	1.05500000e+01	8.53347704e+06	1.00444890e+22
3.70828024e+03	1.06000000e+01	8.53310316e+06	9.81149308e+21
3.68629752e+03	1.06500000e+01	8.53272802e+06	9.58009845e+21
3.66403198e+03	1.07000000e+01	8.53235120e+06	9.34992129e+21
3.64152278e+03	1.07500000e+01	8.53197985e+06	9.12145757e+21
3.61881054e+03	1.08000000e+01	8.53162111e+06	8.89522543e+21
3.59588397e+03	1.08500000e+01	8.53127542e+06	8.67122484e+21
3.57270512e+03	1.09000000e+01	8.53093980e+06	8.44918921e+21
3.54930608e+03	1.09500000e+01	8.53061273e+06	8.22944819e+21
3.52588853e+03	1.10000000e+01	8.53029632e+06	8.01377562e+21
3.50265882e+03	1.10500000e+01	8.52999290e+06	7.80398149e+21
3.47950040e+03	1.11000000e+01	8.52970026e+06	7.59906745e+21
3.45603869e+03	1.11500000e+01	8.52941258e+06	7.39579110e+21
3.43200522e+03	1.12000000e+01	8.52912582e+06	7.19183227e+21
3.40759718e+03	1.12500000e+01	8.52884366e+06	6.98891840e+21
3.38312855e+03	1.13000000e+01	8.52857175e+06	6.78979189e+21
3.35875478e+03	1.13500000e+01	8.52831255e+06	6.59579736e+21
3.33439054e+03	1.14000000e+01	8.52806374e+06	6.40615669e+21
3.30994015e+03	1.14500000e+01	8.52782273e+06	6.21999873e+21
3.28539529e+03	1.15000000e+01	8.52758815e+06	6.03720697e+21
3.26079358e+03	1.15500000e+01	8.52735926e+06	5.85806157e+21
3.23616267e+03	1.16000000e+01	8.52713506e+06	5.68275514e+21
3.21150069e+03	1.16500000e+01	8.52691372e+06	5.51122021e+21
3.18680079e+03	1.17000000e+01	8.52669332e+06	5.34334570e+21
3.16206364e+03	1.17500000e+01	8.52647416e+06	5.17908771e+21
3.13729812e+03	1.18000000e+01	8.52625889e+06	5.01847581e+21
3.11251580e+03	1.18500000e+01	8.52604999e+06	4.86155108e+21
3.08774514e+03	1.19000000e+01	8.52584775e+06	4.70841261e+21
3.06302221e+03	1.19500000e+01	8.52565149e+06	4.55918557e+21
3.03835761e+03	1.20000000e+01	8.52546042e+06	4.41386494e+21
3.01368864e+03	1.20500000e+01	8.52527356e+06	4.27207075e+21
2.98894366e+03	1.21000000e+01	8.52508987e+06	4.13337659e+21
2.96420351e+03	1.21500000e+01	8.52490899e+06	3.99810776e+21
2.93974157e+03	1.22000000e+01	8.52473139e+06	3.86753873e+21
2.91579885e+03	1.22500000e+01	8.52455746e+06	3.74278340e+21
2.89215645e+03	1.23000000e+01	8.52438625e+06	3.62267884e+21
2.86832492e+03	1.23500000e+01	8.52421603e+06	3.50472251e+21
2.84395272e+03	1.24000000e+01	8.52404573e+06	3.38709756e+21
2.81928492e+03	1.24500000e+01	8.52387715e+06	3.27095271e+21
2.79472317e+03	1.25000000e+01	8.52371282e+06	3.15821506e+21
2.77051024e+03	1.25500000e+01	8.52355439e+06	3.05001979e+21
2.74653304e+03	1.26000000e+01	8.52340148e+06	2.94572820e+21
2.72263417e+03	1.26500000e+01	8.52325340e+06	2.84448078e+21
2.69875264e+03	1.27000000e+01	8.52310887e+06	2.74589865e+21
2.67492534e+03	1.27500000e+01	8.52296598e+06	2.65009108e+21
2.65118902e+03	1.28000000e+01	8.52282317e+06	2.55716830e+21
2.62754511e+03	1.28500000e+01	8.52268171e+06	2.46707745e+21
2.60397845e+03	1.29000000e+01	8.52254418e+06	2.37968908e+21
2.58048496e+03	1.29500000e+01	8.52241225e+06	2.29491027e+21
2.55709589e+03	1.30000000e+01	8.52228476e+06	2.21276468e+21
2.53384782e+03	1.30500000e+01	8.52215997e+06	2.13329433e+21
2.51071359e+03	1.31000000e+01	8.52203632e+06	2.05635997e+21
2.48758197e+03	1.31500000e+01	8.52191255e+06	1.98158350e+21
2.46436987e+03	1.32000000e+01	8.52178762e+06	1.90866496e+21
2.44130859e+03	1.32500000e+01	8.52166256e+06	1.83818253e+21
2.41880015e+03	1.33000000e+01	8.52153950e+06	1.77119112e+21
2.39701422e+03	1.33500000e+01	8.52141963e+06	1.70809875e+21
2.37539671e+03	1.34000000e+01	8.52130110e+06	1.64729825e+21
2.35327509e+03	1.34500000e+01	8.52118153e+06	1.58685317e+21
2.33053527e+03	1.35000000e+01	8.52106068e+06	1.52639545e+21
2.30766672e+03	1.35500000e+01	8.52094063e+06	1.46725218e+21
2.28512867e+03	1.36000000e+01	8.52082317e+06	1.41066601e+21
2.26292349e+03	1.36500000e+01	8.52070745e+06	1.35660032e+21
2.24084520e+03	1.37000000e+01	8.52059138e+06	1.30443495e+21
2.21878052e+03	1.37500000e+01	8.52047473e+06	1.25379595e+21
2.19679639e+03	1.38000000e+01	8.52036081e+06	1.20478827e+21
2.17496293e+03	1.38500000e+01	8.52025288e+06	1.15753655e+21
2.15319451e+03	1.39000000e+01	8.52015044e+06	1.11185315e+21
2.13132536e+03	1.39500000e+01	8.52005097e+06	1.06738923e+21
2.10945107e+03	1.40000000e+01	8.51995331e+06	1.02426145e+21
2.08815824e+03	1.40500000e+01	8.51985884e+06	9.83461390e+20
2.06792265e+03	1.41000000e+01	8.51976855e+06	9.45783760e+20
2.04810466e+03	1.41500000e+01	8.51967889e+06	9.10039968e+20
2.02762734e+03	1.42000000e+01	8.51958456e+06	8.74264191e+20
2.00623758e+03	1.42500000e+01	8.51948478e+06	8.37966167e+20
1.98467260e+03	1.43000000e+01	8.51938421e+06	8.02429520e+20
1.96355493e+03	1.43500000e+01	8.51928687e+06	7.68744908e+20
1.94267045e+03	1.44000000e+01	8.51919215e+06	7.36564783e+20
1.92161226e+03	1.44500000e+01	8.51909823e+06	7.05193527e+20
1.90074483e+03	1.45000000e+01	8.51900590e+06	6.75044530e+20
1.88095129e+03	1.45500000e+01	8.51891772e+06	6.47278564e+20
1.86220110e+03	1.46000000e+01	8.51883261e+06	6.21818071e+20
1.84317502e+03	1.46500000e+01	8.51874444e+06	5.96837620e+20
1.82298803e+03	1.47000000e+01	8.51865003e+06	5.71124977e+20
1.80212231e+03	1.47500000e+01	8.51855478e+06	5.45384712e+20
1.78129163e+03	1.48000000e+01	8.51846490e+06	5.20606484e+20
1.76131485e+03	1.48500000e+01	8.51838249e+06	4.97632324e+20
1.74291212e+03	1.49000000e+01	8.51830714e+06	4.77089869e+20
1.72512751e+03	1.49500000e+01	8.51823112e+06	4.57911558e+20
1.70606704e+03	1.50000000e+01	8.51814292e+06	4.38084333e+20
1.68597277e+03	1.50500000e+01	8.51804513e+06	4.17802871e+20
1.66681403e+03	1.51000000e+01	8.51795171e+06	3.99047164e+20
1.64931090e+03	1.51500000e+01	8.51786859e+06	3.82529226e+20
1.63214716e+03	1.52000000e+01	8.51778854e+06	3.66892696e+20
