# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
6.74579518e+03	4.35000000e+00	6.30529577e+06	5.86642284e+22
6.71127040e+03	4.40000000e+00	6.30458261e+06	5.74590807e+22
6.67750063e+03	4.45000000e+00	6.30388030e+06	5.62992789e+22
6.64401409e+03	4.50000000e+00	6.30317842e+06	5.51666660e+22
6.61089714e+03	4.55000000e+00	6.30247843e+06	5.40628590e+22
6.57845497e+03	4.60000000e+00	6.30178639e+06	5.29972500e+22
6.54662694e+03	4.65000000e+00	6.30109760e+06	5.19674239e+22
6.51479541e+03	4.70000000e+00	6.30039097e+06	5.09529880e+22
6.48239730e+03	4.75000000e+00	6.29964810e+06	4.99354317e+22
6.44949486e+03	4.80000000e+00	6.29887587e+06	4.89171733e+22
6.41639331e+03	4.85000000e+00	6.29809070e+06	4.79087108e+22
6.38355575e+03	4.90000000e+00	6.29730550e+06	4.69239404e+22
6.35164126e+03	4.95000000e+00	6.29652887e+06	4.59809708e+22
6.32110307e+03	5.00000000e+00	6.29576636e+06	4.50918541e+22
6.29145533e+03	5.05000000e+00	6.29501184e+06	4.42414308e+22
6.26206371e+03	5.10000000e+00	6.29425762e+06	4.34102898e+22
6.23294836e+03	5.15000000e+00	6.29350615e+06	4.25982941e+22
6.20436647e+03	5.20000000e+00	6.29276335e+06	4.18122915e+22
6.17637482e+03	5.25000000e+00	6.29202981e+06	4.10532684e+22
6.14889726e+03	5.30000000e+00	6.29130253e+06	4.03183198e+22
6.12192198e+03	5.35000000e+00	6.29057896e+06	3.96063424e+22
6.09551649e+03	5.40000000e+00	6.28985724e+06	3.89184569e+22
6.06974975e+03	5.45000000e+00	6.28913585e+06	3.82557777e+22
6.04468291e+03	5.50000000e+00	6.28841411e+06	3.76190840e+22
6.02036864e+03	5.55000000e+00	6.28769165e+06	3.70089283e+22
5.99681318e+03	5.60000000e+00	6.28696907e+06	3.64247479e+22
5.97400586e+03	5.65000000e+00	6.28624755e+06	3.58655735e+22
5.95196464e+03	5.70000000e+00	6.28553081e+06	3.53311454e+22
5.93073616e+03	5.75000000e+00	6.28482519e+06	3.48219139e+22
5.91033977e+03	5.80000000e+00	6.28413521e+06	3.43377192e+22
5.89070994e+03	5.85000000e+00	6.28345961e+06	3.38764957e+22
5.87176545e+03	5.90000000e+00	6.28279605e+06	3.34358255e+22
5.85342733e+03	5.95000000e+00	6.28214229e+06	3.30133446e+22
5.83566794e+03	6.00000000e+00	6.28149788e+06	3.26079318e+22
5.81851105e+03	6.05000000e+00	6.28086415e+06	3.22197095e+22
5.80198264e+03	6.10000000e+00	6.28024253e+06	3.18488537e+22
5.78610869e+03	6.15000000e+00	6.27963443e+06	3.14955407e+22
5.77091486e+03	6.20000000e+00	6.27904127e+06	3.11599398e+22
5.75639011e+03	6.25000000e+00	6.27846289e+06	3.08414840e+22
5.74245476e+03	6.30000000e+00	6.27789628e+06	3.05382279e+22
5.72902158e+03	6.35000000e+00	6.27733809e+06	3.02480746e+22
5.71600337e+03	6.40000000e+00	6.27678496e+06	2.99689274e+22
5.70331290e+03	6.45000000e+00	6.27623356e+06	2.96986895e+22
5.69086664e+03	6.50000000e+00	6.27568073e+06	2.94353470e+22
5.67863980e+03	6.55000000e+00	6.27512643e+06	2.91782078e+22
5.66665477e+03	6.60000000e+00	6.27457314e+06	2.89276407e+22
5.65493526e+03	6.65000000e+00	6.27402340e+06	2.86840442e+22
5.64350496e+03	6.70000000e+00	6.27347974e+06	2.84478169e+22
5.63238758e+03	6.75000000e+00	6.27294470e+06	2.82193573e+22
5.62160643e+03	6.80000000e+00	6.27242080e+06	2.79990561e+22
5.61115644e+03	6.85000000e+00	6.27190914e+06	2.77867410e+22
5.60098574e+03	6.90000000e+00	6.27140846e+06	2.75813112e+22
5.59103811e+03	6.95000000e+00	6.27091730e+06	2.73815792e+22
5.58125730e+03	7.00000000e+00	6.27043417e+06	2.71863575e+22
5.57158708e+03	7.05000000e+00	6.26995762e+06	2.69944585e+22
5.56197122e+03	7.10000000e+00	6.26948617e+06	2.68046947e+22
5.55236243e+03	7.15000000e+00	6.26901856e+06	2.66160682e+22
5.54275213e+03	7.20000000e+00	6.26855443e+06	2.64284003e+22
5.53314219e+03	7.25000000e+00	6.26809367e+06	2.62417341e+22
5.52353450e+03	7.30000000e+00	6.26763616e+06	2.60561125e+22
5.51393093e+03	7.35000000e+00	6.26718179e+06	2.58715782e+22
5.50433336e+03	7.40000000e+00	6.26673045e+06	2.56881744e+22
5.49474365e+03	7.45000000e+00	6.26628202e+06	2.55059436e+22
5.48516379e+03	7.50000000e+00	6.26583626e+06	2.53249199e+22
5.47559583e+03	7.55000000e+00	6.26539274e+06	2.51451243e+22
5.46604187e+03	7.60000000e+00	6.26495103e+06	2.49665770e+22
5.45650399e+03	7.65000000e+00	6.26451068e+06	2.47892984e+22
5.44698428e+03	7.70000000e+00	6.26407126e+06	2.46133085e+22
5.43748483e+03	7.75000000e+00	6.26363233e+06	2.44386277e+22
5.42800624e+03	7.80000000e+00	6.26319352e+06	2.42652523e+22
5.41854076e+03	7.85000000e+00	6.26275480e+06	2.40930434e+22
5.40907765e+03	7.90000000e+00	6.26231629e+06	2.39218140e+22
5.39960618e+03	7.95000000e+00	6.26187812e+06	2.37513772e+22
5.39011561e+03	8.00000000e+00	6.26144038e+06	2.35815459e+22
5.38059522e+03	8.05000000e+00	6.26100319e+06	2.34121333e+22
5.37103468e+03	8.10000000e+00	6.26056668e+06	2.32429596e+22
5.36142916e+03	8.15000000e+00	6.26013095e+06	2.30739449e+22
5.35177779e+03	8.20000000e+00	6.25969613e+06	2.29050803e+22
5.34207978e+03	8.25000000e+00	6.25926233e+06	2.27363590e+22
5.33233434e+03	8.30000000e+00	6.25882969e+06	2.25677737e+22
5.32254070e+03	8.35000000e+00	6.25839832e+06	2.23993174e+22
5.31269671e+03	8.40000000e+00	6.25796832e+06	2.22309619e+22
5.30278134e+03	8.45000000e+00	6.25753956e+06	2.20623860e+22
5.29275973e+03	8.50000000e+00	6.25711173e+06	2.18930534e+22
5.28259670e+03	8.55000000e+00	6.25668449e+06	2.17224228e+22
5.27225703e+03	8.60000000e+00	6.25625754e+06	2.15499530e+22
5.26170556e+03	8.65000000e+00	6.25583055e+06	2.13751027e+22
